deck_grp,deck_name,deck_time
vp2dex08,vp2dex08.in,2380000
ganfetex19,ganfetex19.in,910000
ganfetex04,ganfetex04.in,6560000
ganfetex04,ganfetex04_aux.in,950000
ganfetex18,ganfetex18.in,61060000
ganfetex18,ganfetex18_aux_1.in,2230000
ganfetex18,ganfetex18_aux_0.in,4370000
ganfetex03,ganfetex03.in,363950000
ganfetex07,ganfetex07.in,3481010000
ganfetex05,ganfetex05.in,1857840000
ganfetex10,ganfetex10.in,1241310000
ganfetex08,ganfetex08.in,6546410000
ganfetex21,ganfetex21.in,12406890000
ganfetex02,ganfetex02.in,2298820000
ganfetex16,ganfetex16.in,10498320000
ganfetex01,ganfetex01.in,2700000
ganfetex01,ganfetex01_aux.in,350000
ganfetex12,ganfetex12.in,5446440000
ganfetex06,ganfetex06_aux.in,397580000
ganfetex06,ganfetex06.in,13779150000
ganfetex13,ganfetex13.in,180000
ganfetex15,ganfetex15.in,63211900000
ganfetex15,ganfetex15_aux.in,4040140000
ganfetex15,ganfetex15_aux_subs.in,4468690000
ganfetex17,ganfetex17.in,5779090000
ganfetex09,ganfetex09.in,532480000
ganfetex14,ganfetex14.in,1293080000
ganfetex20,ganfetex20.in,1160500000
ganfetex11,ganfetex11.in,6900800000
anopex21,anopex21.in,7090000
anopex16,anopex16.in,590000
anopex09,anopex09.in,290000
anopex10,anopex10.in,4690000
anopex08,anopex08.in,6610000
anopex18,anopex18.in,2040000
anopex02,anopex02.in,410000
anopex14,anopex14.in,9570000
anopex23,anopex23.in,240000
anopex01,anopex01.in,210000
anopex12,anopex12.in,68210000
anopex12,anopex12_tmpl.in,1540000
anopex04,anopex04.in,210000
anopex19,anopex19.in,1210000
anopex03,anopex03.in,1600000
anopex06,anopex06.in,220000
anopex22,anopex22_tmpl.in,240000
anopex22,anopex22.in,4870000
anopex17,anopex17.in,70020000
anopex17,anopex17_tmpl.in,820000
anopex11,anopex11_tmpl.in,200000
anopex11,anopex11.in,62340000
anopex07,anopex07.in,210000
anopex13,anopex13.in,1130000
anopex05,anopex05.in,250000
anopex20,anopex20.in,1020000
anopex15,anopex15.in,240000
mos2ex18,mos2ex18.in,1550000
mos2ex09,mos2ex09.in,1360000
mos2ex25,mos2ex25.in,1930000
mos2ex13,mos2ex13.in,94980000
mos2ex08,mos2ex08.in,72350000
mos2ex21,mos2ex21.in,1960000
mos2ex06,mos2ex06_nt.in,22830000
mos2ex06,mos2ex06.in,22830000
mos2ex19,mos2ex19_aux.in,18110000
mos2ex19,mos2ex19.in,166180000
mos2ex02,mos2ex02.in,123140000
mos2ex11,mos2ex11.in,3700000
mos2ex01,mos2ex01.in,142990000
mos2ex17,mos2ex17.in,921290000
mos2ex24,mos2ex24.in,1970000
mos2ex10,mos2ex10.in,13200000
mos2ex22,mos2ex22.in,1920000
mos2ex15,mos2ex15.in,2890000
mos2ex23,mos2ex23.in,276410000
mos2ex12,mos2ex12.in,1910000
mos2ex20,mos2ex20.in,1640000
mos2ex07,mos2ex07.in,2270000
mos2ex04,mos2ex04.in,1400000
mos2ex26,mos2ex26.in,1950000
mos2ex16,mos2ex16.in,7210000
mos2ex05,mos2ex05.in,1390000
mos2ex03,mos2ex03.in,1320000
mos2ex14,mos2ex14.in,17470000
questex19,questex19.in,10000
questex10,questex10.in,10000
questex11,questex11.in,20000
questex11,questex11_command.in,20000
questex07,questex07.in,20000
questex06,questex06.in,10000
questex15,questex15.in,20000
questex08,questex08.in,20000
questex13,questex13.in,20000
questex02,questex02.in,20000
questex02,questex02_RLGC_Transient.in,10000
questex02,questex02_S_devices.in,10000
questex14,questex14_doe.in,2580000
questex14,questex14.in,20000
questex17,questex17.in,20000
questex01,questex01.in,10000
questex09,questex09.in,20000
questex04,questex04.in,10000
questex16,questex16.in,20000
questex03,questex03.in,10000
questex12,questex12.in,20000
questex12,questex12_doe.in,540000
questex18,questex18.in,20000
questex05,questex05.in,10000
thermalex06,thermalex06.in,1170000
thermalex03,thermalex03.in,710000
thermalex01,thermalex01.in,660000
thermalex08,thermalex08.in,1262620000
thermalex02,thermalex02.in,1100000
thermalex04,thermalex04.in,530000
thermalex07,thermalex07.in,1180000
thermalex05,thermalex05.in,1900000
eprmex05,eprmex05.in,113200000
eprmex01,eprmex01.in,3060000
eprmex02,eprmex02.in,580000
eprmex04,eprmex04.in,3060000
eprmex03,eprmex03.in,3080000
soiex07,soiex07.in,417730000
soiex09,soiex09.in,922960000
soiex10,soiex10.in,1980000
soiex14,soiex14.in,2230000
soiex13,soiex13.in,1920000
soiex04,soiex04.in,54410000
soiex11,soiex11.in,1910000
soiex08,soiex08.in,15500000
soiex12,soiex12.in,1890000
soiex03,soiex03.in,41870000
soiex02,soiex02.in,1110000
soiex15,soiex15.in,1900000
soiex01,soiex01.in,2010000
soiex05,soiex05.in,103560000
soiex06,soiex06.in,45730000
quantumex22,quantumex22.in,306360000
quantumex05,quantumex05.in,30080000
quantumex19,quantumex19.in,1395430000
quantumex02,quantumex02.in,5510000
quantumex03,quantumex03.in,155380000
quantumex23,quantumex23.in,115740000
quantumex12,quantumex12.in,594790000
quantumex15,quantumex15.in,4040000
quantumex13,quantumex13.in,217690000
quantumex17,quantumex17_aux.in,18710000
quantumex17,quantumex17.in,120370000
quantumex24,quantumex24.in,195800000
quantumex07,quantumex07.in,332650000
quantumex01,quantumex01.in,5470000
quantumex06,quantumex06.in,44960000
quantumex08,quantumex08.in,370000
quantumex20,quantumex20.in,207960000
quantumex10,quantumex10.in,30850000
quantumex14,quantumex14.in,177150000
quantumex04,quantumex04.in,1530000
quantumex16,quantumex16.in,8870710000
quantumex09,quantumex09.in,4480000
quantumex18,quantumex18.in,271930000
quantumex11,quantumex11.in,175050000
quantumex21,quantumex21.in,5468730000
solarex04,solarex04.in,48660000
solarex19,solarex19.in,230100000
solarex08,solarex08.in,1580000
solarex09,solarex09.in,170000
solarex05,solarex05.in,2970000
solarex12,solarex12.in,46590000
solarex18,solarex18.in,2176270000
solarex18,solarex18_aux.in,131090000
solarex10,solarex10.in,314690000
solarex02,solarex02.in,8830000
solarex01,solarex01.in,20070000
solarex03,solarex03.in,148120000
solarex17,solarex17.in,1181230000
solarex14,solarex14.in,170210000
solarex16,solarex16_aux.in,480000
solarex16,solarex16.in,3680000
solarex13,solarex13_aux.in,295010000
solarex13,solarex13.in,3427150000
solarex20,solarex20.in,1930000
solarex07,solarex07.in,1020000
solarex11,solarex11.in,270880000
solarex11,solarex11_aux.in,43300000
solarex21,solarex21.in,570000
solarex06,solarex06.in,3840000
solarex15,solarex15.in,101530000
ferroex01,ferroex01.in,2710000
ferroex02,ferroex02.in,30010000
aniiex05,aniiex05.in,290000
aniiex01,aniiex01.in,240000
aniiex16,aniiex16.in,260000
aniiex11,aniiex11.in,118240000
aniiex07,aniiex07.in,7910000
aniiex15,aniiex15.in,97360000
aniiex19,aniiex19.in,532620000
aniiex20,aniiex20.in,379770000
aniiex13,aniiex13.in,13000000
aniiex08,aniiex08.in,4860000
aniiex02,aniiex02.in,280000
aniiex06,aniiex06.in,310000
aniiex18,aniiex18.in,96440000
aniiex03,aniiex03.in,340000
aniiex12,aniiex12.in,26440000
aniiex10,aniiex10.in,3840000
